sku,display_name,category,monthly_target,year,month
10Trad,10" Traditional,cast_iron,6859,2025,1
12Trad,12" Traditional,cast_iron,11806,2025,1
14Trad,14" Traditional,cast_iron,1922,2025,1
8Chef,8" Chef Skillet,cast_iron,2864,2025,1
10Flat,10" Flat Top,cast_iron,750,2025,1
12Flat,12" Flat Top,cast_iron,3790,2025,1
14Dual,14" Dual Handle,cast_iron,3384,2025,1
12Dual,12" Dual Handle,cast_iron,762,2025,1
6Trad,6" Traditional,cast_iron,1500,2025,1
11Deep,11" Deep Skillet,cast_iron,1345,2025,1
12Grill,12" Grill Pan,cast_iron,300,2025,1
3.5Dutch,3.5 Qt Dutch Oven,cast_iron,500,2025,1
5.5Dutch,5.5 Qt Dutch Oven,cast_iron,1170,2025,1
7.25Dutch,7.25 Qt Dutch Oven,cast_iron,450,2025,1
DeepFarm,Deep Farmhouse,cast_iron,1500,2025,1
DoubleGriddle,Double Burner Griddle,cast_iron,3232,2025,1
Wok,Wok,carbon_steel,1190,2025,1
No12CS,No. 12 Carbon Steel,carbon_steel,2500,2025,1
No10CS,No. 10 Carbon Steel,carbon_steel,1800,2025,1
Ironclad10,Ironclad 10",accessory,500,2025,1
Ironclad12,Ironclad 12",accessory,800,2025,1
